URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://example.org/CodeSystem/gen---countries-cs,0.1.0,draft,,GENCountriesCS,GEN - Countries,"","ValueSet/gen---countries-vs"
http://example.org/CodeSystem/mpox-cs-animal-status-cs,0.1.0,draft,,MPOXCSAnimalStatusCS,MPOX CS: Animal status,"","ValueSet/mpox-cs-animal-status-vs"
http://example.org/CodeSystem/mpox-cs-case-classification-crf-cs,0.1.0,draft,,MPOXCSCaseClassificationCRFCS,MPOX CS: Case classification (CRF),"","ValueSet/mpox-cs-case-classification-crf-vs"
http://example.org/CodeSystem/mpox-cs-clade-mpox-cs,0.1.0,draft,,MPOXCSCladeMpoxCS,MPOX CS: Clade Mpox,"","ValueSet/mpox-cs-clade-mpox-vs"
http://example.org/CodeSystem/mpox-cs-contact-frequency-cs,0.1.0,draft,,MPOXCSContactFrequencyCS,MPOX CS: Contact frequency,"","ValueSet/mpox-cs-contact-frequency-vs"
http://example.org/CodeSystem/mpox-cs-current-status-cs,0.1.0,draft,,MPOXCSCurrentStatusCS,MPOX CS: Current status,"","ValueSet/mpox-cs-current-status-vs"
http://example.org/CodeSystem/mpox-cs-gender-cs,0.1.0,draft,,MPOXCSGenderCS,MPOX CS: Gender,"","ValueSet/mpox-cs-gender-vs"
http://example.org/CodeSystem/mpox-cs-gender-sexual-partners-cs,0.1.0,draft,,MPOXCSGenderSexualPartnersCS,MPOX CS: Gender sexual partners,"","ValueSet/mpox-cs-gender-sexual-partners-vs"
http://example.org/CodeSystem/mpox-cs-hand-hygiene-ppe-cs,0.1.0,draft,,MPOXCSHandHygienePPECS,MPOX CS: Hand hygiene PPE,"","ValueSet/mpox-cs-hand-hygiene-ppe-vs"
http://example.org/CodeSystem/mpox-cs-hiv-status-assessment-cs,0.1.0,draft,,MPOXCSHIVStatusAssessmentCS,MPOX CS: HIV status assessment,"","ValueSet/mpox-cs-hiv-status-assessment-vs"
http://example.org/CodeSystem/mpox-cs-hiv-status-cs,0.1.0,draft,,MPOXCSHIVStatusCS,MPOX CS: HIV status,"","ValueSet/mpox-cs-hiv-status-vs"
http://example.org/CodeSystem/mpox-cs-immunosuppressed-status-cs,0.1.0,draft,,MPOXCSImmunosuppressedStatusCS,MPOX CS: Immunosuppressed status,"","ValueSet/mpox-cs-immunosuppressed-status-vs"
http://example.org/CodeSystem/mpox-cs-likely-mode-of-transmission-mpox-cs,0.1.0,draft,,MPOXCSLikelyModeOfTransmissionMpoxCS,MPOX CS: Likely mode of transmission (Mpox),"","ValueSet/mpox-cs-likely-mode-of-transmission-mpox-vs"
http://example.org/CodeSystem/mpox-cs-maximum-duration-encounters-cs,0.1.0,draft,,MPOXCSMaximumDurationEncountersCS,MPOX CS: Maximum duration encounters,"","ValueSet/mpox-cs-maximum-duration-encounters-vs"
http://example.org/CodeSystem/mpox-cs-outcome-disease-cs,0.1.0,draft,,MPOXCSOutcomeDiseaseCS,MPOX CS: Outcome disease,"","ValueSet/mpox-cs-outcome-disease-vs"
http://example.org/CodeSystem/mpox-cs-place-animal-contact-cs,0.1.0,draft,,MPOXCSPlaceAnimalContactCS,MPOX CS: Place animal contact,"","ValueSet/mpox-cs-place-animal-contact-vs"
http://example.org/CodeSystem/mpox-cs-ppe-used-during-exposure-cs,0.1.0,draft,,MPOXCSPPEUsedDuringExposureCS,MPOX CS: PPE used during exposure,"","ValueSet/mpox-cs-ppe-used-during-exposure-vs"
http://example.org/CodeSystem/mpox-cs-pregnancy-status-cs,0.1.0,draft,,MPOXCSPregnancyStatusCS,MPOX CS: Pregnancy status,"","ValueSet/mpox-cs-pregnancy-status-vs"
http://example.org/CodeSystem/mpox-cs-protected-sex-cs,0.1.0,draft,,MPOXCSProtectedSexCS,MPOX CS: Protected sex,"","ValueSet/mpox-cs-protected-sex-vs"
http://example.org/CodeSystem/mpox-cs-relationship-case-cs,0.1.0,draft,,MPOXCSRelationshipCaseCS,MPOX CS: Relationship case,"","ValueSet/mpox-cs-relationship-case-vs"
http://example.org/CodeSystem/mpox-cs-result-sample-cs,0.1.0,draft,,MPOXCSResultSampleCS,MPOX CS: Result sample,"","ValueSet/mpox-cs-result-sample-vs"
http://example.org/CodeSystem/mpox-cs-sex-cs,0.1.0,draft,,MPOXCSSexCS,MPOX CS: Sex,"","ValueSet/mpox-cs-sex-vs"
http://example.org/CodeSystem/mpox-cs-sexual-behavior-cs,0.1.0,draft,,MPOXCSSexualBehaviorCS,MPOX CS: Sexual behavior,"","ValueSet/mpox-cs-sexual-behavior-vs"
http://example.org/CodeSystem/mpox-cs-sexual-partner-last-3-months-cs,0.1.0,draft,,MPOXCSSexualPartnerLast3MonthsCS,MPOX CS: Sexual partner last 3 months,"","ValueSet/mpox-cs-sexual-partner-last-3-months-vs"
http://example.org/CodeSystem/mpox-cs-type-of-animal-cs,0.1.0,draft,,MPOXCSTypeOfAnimalCS,MPOX CS: Type of animal,"","ValueSet/mpox-cs-type-of-animal-vs"
http://example.org/CodeSystem/mpox-cs-type-of-contact-forward-tracing-cs,0.1.0,draft,,MPOXCSTypeOfContactForwardTracingCS,MPOX CS: Type of contact (forward tracing),"","ValueSet/mpox-cs-type-of-contact-forward-tracing-vs"
